:displayName Deutsch

'1 Pi Capitaalo planet, want exotics.prefab
'name2	'((Inhabited planet))	'((Bewohnter Planet))	25		'383958601:dlc2/1 Pi Capitaalo planet, want exotics.prefab; 180401831:dlc2/2 Pi Phobian planet 2, wasteland.prefab; 310536612:dlc2/1 Pi Capitaalo planet, want synth.prefab; 416434856:dlc2/1 Pi Capitaalo planet, want organics.prefab; 685940565:dlc2/2 Pi Phobian planet 1, want credits.prefab; 1615424338:dlc2/1 Pi Capitaalo planet, want explosives.prefab; 1852234114:dlc2/1 Pi Capitaalo planet, want organics 2.prefab; 1930524378:dlc2/2 Pi Phobian planet 3, give weapon.prefab
'text	'"Aha! Looks like either a case of Criminal Poverty or TULG (Totally Unmorally Low Level of Generosity) to me. The Universe has spoken: those who do not give fairly demandend cash to Moralor Redeemers are indeed totally unmoral and shall be righteously put do death."	'"Aha! Sieht für mich entweder nach einem Fall von krimineller Armut oder TUNAG (Total unmoralische niedrige Art von Großzügigkeit) aus. Das Universum hat gesprochen: wer den Moral-Erlösern nicht fair gefordertes Geld gibt, ist in der Tat total unmoralisch und soll rechtschaffen zu Tode gebracht werden."	600		'316343971:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab

'Ambusher L5b Slaver Hunters.prefab
'text	'Small ships approaching tactical weapons range.	'Kleine Schiffe nähern sich der taktischen Waffenreichweite.	600		'1690941194:dlc2/Ambusher L5b Slaver Hunters.prefab
'title	'Slaver Hunter Taskforce	'Sklavenhändler-Einsatzkommando	35		'2075213179:dlc2/Ambusher L5b Slaver Hunters.prefab
'text	'"Alien vessel, this sector is a designated as Slaver Habitat. This means our automated taskforce must destroy all local fleets, because we do not have the means to identify slavers specifically. Our apologies for any inconvenience."	'"Außerirdisches Schiff, dieser Sektor ist als Sklavenhändler Habitat ausgewiesen. Das bedeutet, dass unser automatisiertes Einsatzkommando alle lokalen Flotten zerstören muss, da wir nicht über die Mittel verfügen, um Sklavenhändler gezielt zu identifizieren. Wir entschuldigen uns für etwaige Unannehmlichkeiten."	600		'2075213179:dlc2/Ambusher L5b Slaver Hunters.prefab

'Ambusher L6b Phobian pirates x 3.prefab
'text	'Today's offer is a decent biotech shield module. If you refuse the purchase, our heavy projectile firepower will go right through your shields, ensuring considerable loss of material and crew, even if you defeat us. Accept this offer instead, and we can all peacefully go home. Sounds reasonable?	'"Das heutige Angebot ist ein anständiges Biotech-Schildmodul. Wenn Sie den Kauf ablehnen, wird unsere schwere Projektil-Feuerkraft direkt durch Ihre Schilde gehen und erhebliche Verluste an Material und Besatzung verursachen, selbst wenn Sie uns besiegen. Nehmen Sie stattdessen dieses Angebot an, und wir können alle friedlich nach Hause gehen. Klingt vernünftig?"	400		'1045606086:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'choiceText	'Buy "1 shield module for 299 credits"	'Kaufen [+1 Schildmodul, -299 Kredite]	100		'1045606086:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'text	'Three small vessels approaching tactical weapons range. No high-energy weapons detected.	'Drei kleine Schiffe nähern sich der taktischen Waffenreichweite. Keine High-Energy-Waffen entdeckt.	600		'764131687:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'text2	'The "shield module" we receive in return for our hard-earned credits turns out to be an ancient piece of junk, damaged beyond repair and missing many pieces. We scrap it for materials.	'Das "Schildmodul", das wir für unsere hart verdienten Kredite erhalten, entpuppt sich als ein uralter Schrotthaufen, der irreparabel beschädigt ist und dem viele Teile fehlen. Wir verschrotten es für Materialien.	400		'85961646:dlc2/Ambusher L6b Phobian pirates x 3.prefab

'Ambusher L6b Squid new smalls x3.prefab
'text	'Three small Squid ships closing in fast.	'Drei kleine Tintenfisch-Schiffe nähern sich schnell.	600		'1467933848:dlc2/Ambusher L6b Squid new smalls x3.prefab

'Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'text	'A large ship approaching, armed with numerous energy weapons.	'Ein großes Schiff nähert sich, bewaffnet mit zahlreichen Energiewaffen.	600		'854173923:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'title	'Moralor Law King	'König der Moral	35		'1549336500:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'text	'We are Moralors, and I am the Law King. The Moral Law states plainly that anybody we meet that isn't moral must pay in cash, 350 creds in your case. And you are totally not moral. Your crew has sex, and that is enough to insult the god, who must witness this disgusting activity in his omnisense. I bet you also sleep tentacles on the right like a total perv. Now pay up or be eradicated for your sins.	'"Wir sind die Moralischen, und ich bin ihr König. Das Moralgesetz besagt eindeutig, dass jeder, der nicht moralisch ist, in bar bezahlen muss, in deinem Fall 350 Kredite. Und du bist absolut nicht moralisch. Deine Besatzung hat Sex, und das reicht aus, um den Gott zu beleidigen, der dieses ekelhafte Treiben in seinem Allessinn mit ansehen muss. Ich wette, Sie schlafen auch mit ihren Tentakeln auf der rechten Seite wie ein totaler Perverser. Bezahlen Sie jetzt oder werden Sie für Ihre Sünden ausgelöscht."	400		'1549336500:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'choiceText	'Pay 350 credits	'Zahlen Sie [-350 Kredite]	100		'1549336500:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'text	'"Aha! Looks like a clear case of Criminally Poor to me. The universe has spoken: those who do not have enough cash at hand to pay the Moralor Law Kings are indeed totally unmoral and shall be righteously put do death."	'"Aha! Sieht für mich nach einem klaren Fall von "kriminell arm" aus. Das Universum hat gesprochen: Wer nicht genug Bargeld zur Hand hat, um den König der Moral zu bezahlen, ist in der Tat total unmoralisch und soll rechtschaffen zu Tode gebracht werden."	600		'1435573630:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'okButtonText	'The capability to lie to oneself continues to surprise us across species	'Das Vermögen, sich selbst zu belügen, verblüfft uns immer wieder artübergreifend	7		'2016973337:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab
'text	'"You must be crazy, how can you not see that any sex or sleeping with tentacles on the right is bad for the universe? Don't you have pity for the god who must every day see your blasphemous activities due to their omnisense! You don't have the right to insult god like this. Insulting god is bad for the whole universe. We are forced to fight you."	'"Sie müssen verrückt sein, wie können Sie nicht sehen, dass jeder Sex oder das Schlafen mit Tentakeln auf der rechten Seite schlecht für das Universum ist? Haben Sie kein Mitleid mit dem Gott, der aufgrund seiner Allwissenheit jeden Tag Ihre blasphemischen Aktivitäten sehen muss! Sie haben nicht das Recht, Gott auf diese Weise zu beleidigen. Gott zu beleidigen ist schlecht für das ganze Universum. Wir sind gezwungen, euch zu bekämpfen."	600		'2016973337:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab

'Ambusher L7b Moralors, medium and small.prefab
'text	'"We are the Moralor Testers, the final guardians assuring this universe remains profoundly ethical. We have a simple test question for you today. The classic question: is doing sex moral?"	'"Wir sind die Moral Tester, die letzten Wächter, die sicherstellen, dass dieses Universum zutiefst ethisch bleibt. Wir haben heute eine einfache Testfrage für Sie. Die klassische Frage: Ist es moralisch, Sex zu haben?"	400		'2147455246:dlc2/Ambusher L7b Moralors, medium and small.prefab; 1654668946:dlc2/Ambusher L9b Moralors, large and small.prefab
'choiceText	'Completely immoral, we never do it in any shape or form	'Völlig unmoralisch, wir würden es nie tun, in keiner Form.	100		'2147455246:dlc2/Ambusher L7b Moralors, medium and small.prefab; 1654668946:dlc2/Ambusher L9b Moralors, large and small.prefab
'choiceText	'You mean having sex? You're asking if having any sex with anyone is moral?	'Sie meinen, Sex zu haben? Du fragst, ob es moralisch ist, mit jemandem Sex zu haben?	100		'2147455246:dlc2/Ambusher L7b Moralors, medium and small.prefab; 1654668946:dlc2/Ambusher L9b Moralors, large and small.prefab
'title	'Chorus singing transmission	'Chorgesang Übertragung	35		'2033692376:dlc2/Ambusher L7b Moralors, medium and small.prefab; 1540906076:dlc2/Ambusher L9b Moralors, large and small.prefab
'text	'"Our brains are filled with joy to hear these pure thoughts. We shall now commence a chorus singing to celebrate this happy meeting. Please listen. It is about how generous the universe is, bringing together beings who understand who unmoral sex is, and who sleep only with tentacles on the left. You'd never do that, right? [chorus singing commences]"	'"Unsere Gehirne sind mit Freude erfüllt, diese reinen Gedanken zu hören. Wir werden nun einen Chorgesang anstimmen, um diese glückliche Begegnung zu feiern. Bitte hören Sie zu. Es geht darum, wie großzügig das Universum ist, indem es Wesen zusammenbringt, die verstehen, dass Sex unmoralisch ist, und die nur mit ihren Tentakeln auf der linken Seite schlafen. Das würdest du nie tun, oder?" (Chorgesang setzt ein)	600		'2033692376:dlc2/Ambusher L7b Moralors, medium and small.prefab; 1540906076:dlc2/Ambusher L9b Moralors, large and small.prefab
'text	'"Aha! You have revealed your unmoral nature by saying "having sex with" instead of saying "doing sex" which is the normal way of speaking about such blasphemous matters. Truly the universe is full of hidden sinners, and we are lucky to have this ancient wisdom for seeing through these tricks of yours. Everyone knows doing sex or talking about it differently is a clear sign of evil. Prepare to meet our god in your afterlife, he shall sind you the moral chorus soon."	'"Aha! Du hast deine unmoralische Natur offenbart, indem du sagst "Sex haben mit" statt "Sex machen", was die normale Art ist, über solch blasphemische Dinge zu sprechen. Wahrlich, das Universum ist voll von verborgenen Sündern, und wir können uns glücklich schätzen, diese alte Weisheit zu haben, um Ihre Tricks zu durchschauen. Jeder weiß, dass es ein klares Zeichen des Bösen ist, Sex zu haben oder anders darüber zu sprechen. Bereitet euch darauf vor, unseren Gott in eurem Jenseits zu treffen, er wird euch bald die Moralkeule schwingen."	600		'467608435:dlc2/Ambusher L7b Moralors, medium and small.prefab; 2122305783:dlc2/Ambusher L9b Moralors, large and small.prefab

'Ambusher L9b Moralors, large and small.prefab

'Level 1b, rats and capitaalo.prefab
'displayName	'The Closest Star (DLC)	'Der nächste Stern (DLC)	25		'527148320:dlc2/Level 1b, rats and capitaalo.prefab

'Level 2b, pirates and phobians.prefab
'displayName	'The Great Inbetween (DLC)	'Das große Zwischending (DLC)	25		'1103400833:dlc2/Level 2b, pirates and phobians.prefab
'description	'Captains log:\n\n/.../ We've survived the Capitaalo, and the Rat Empire, but I feel our troubles are only beginning. \nThe pirate reports coming from this sector mean we need more crew, point-defences, shields and especially <color=green>ship weapon slots</color> to stay alive.\nI shall make it my personal matter to upgrade one of the hybrid point-defence slots into a weapon platform /.../	'Logbuch des Kapitäns: /.../ Wir haben die Capitaalo und das Rattenimperium überlebt, aber ich habe das Gefühl, dass unsere Probleme erst anfangen. \nDie Piratenberichte aus diesem Sektor bedeuten, dass wir mehr Besatzung, Punktabwehr, Schilde und vor allem <color=green>Schiffswaffen-Steckplätze</color> brauchen, um am Leben zu bleiben.\nIch werde es zu meiner persönlichen Angelegenheit machen, einen der hybriden Punktabwehr-Steckplätze zu einer Waffenplattform aufzurüsten /.../	350		'1103400833:dlc2/Level 2b, pirates and phobians.prefab

'Level 3b, collection.prefab
'displayName	'The Periphery (DLC)	'Die Peripherie (DLC)	25		'180261437:dlc2/Level 3b, collection.prefab

'Level 4b, insects.prefab
'displayName	'Unclaimed Sector (DLC)	'Nicht beanspruchter Sektor (DLC)	25		'1963731161:dlc2/Level 4b, insects.prefab

'Level 5b, slavers.prefab
'displayName	'Mining sector (DLC)	'Bergbau-Sektor (DLC)	25		'669451033:dlc2/Level 5b, slavers.prefab

'Level 6b, squids, slavers, pirates.prefab
'displayName	'Fresh Squid territory (DLC)	'Tintenfischgebiet (DLC)	25		'1065510511:dlc2/Level 6b, squids, slavers, pirates.prefab

'Level 7b, shopping.prefab
'displayName	'The Shopping District (DLC)	'Geschäftsviertel (DLC)	25		'508754655:dlc2/Level 7b, shopping.prefab

'Level 9b, marble, squid, shokar.prefab
'displayName	'The Hideout Hunt (DLC)	'Die Versteckjagd (DLC)	25		'1703003314:dlc2/Level 9b, marble, squid, shokar.prefab

'undeveloped nuke launcher slot for warpshell.prefab

'EMP perm projectile.prefab

'weapon EMP perm DLC.prefab
'displayName	'Oscillaati Sunthrower	'Oszillierender Sonnenwerfer	40		'1934368951:dlc2/weapon EMP perm DLC.prefab
'description	'This powerful built-in energy weapon creates a homing ball of warp plasma that can disable large parts of enemy ships with a single shot.	'Diese mächtige eingebaute Energiewaffe erzeugt einen zielsuchenden Ball aus Warpplasma, der große Teile feindlicher Schiffe mit einem einzigen Schuss außer Gefecht setzen kann. Kann nicht durch Punktabwehr abgeschossen werden.	200		'1934368951:dlc2/weapon EMP perm DLC.prefab

'The Exception.prefab
'description	'This mysterious alien craft was excavated from a deep ravine on Mars. Its asymmetric hull contains an enormous energy weapon and other advanced systems, including an exotic garden of crystal life. Some missing or broken modules were replaced with temporary DIY tech, but many improvements are still needed.	'Dieses mysteriöse Alien-Schiff wurde aus einer tiefen Schlucht auf dem Mars ausgegraben. Seine asymmetrische Hülle enthält eine enorme Energiewaffe und andere fortschrittliche Systeme, darunter einen exotischen Garten des kristallinen Lebens. Einige fehlende oder kaputte Module wurden durch provisorische Selbstbau-Module ersetzt, aber viele Verbesserungen sind noch nötig.	400		'66885230:dlc2/The Exception.prefab
